PERMNO	date	TICKER	COMNAM	BIDLO	ASKHI	PRC	VOL	BID	ASK	OPENPRC	RETX
14593	20100104	AAPL	APPLE INC	212.38000	214.50000	214.00999	18241224	214.23000	214.34000	213.42999	0.015555
14593	20100105	AAPL	APPLE INC	213.25000	215.59000	214.38000	22082278	214.35001	214.38000	214.60001	0.001729
14593	20100106	AAPL	APPLE INC	210.75000	215.23000	210.97000	20396105	210.92999	210.94000	214.38000	-0.015906
14593	20100107	AAPL	APPLE INC	209.05000	212.00000	210.58000	17628746	210.53999	210.52000	211.75000	-0.001849
14593	20100108	AAPL	APPLE INC	209.06000	212.00000	211.98000	16553861	211.96001	212.00000	210.30000	0.006648
14593	20100111	AAPL	APPLE INC	208.45000	213.00000	210.11000	17085997	210.02000	210.13000	212.80000	-0.008822
14593	20100112	AAPL	APPLE INC	206.42000	209.77000	207.72000	21903456	207.72000	207.75000	209.19000	-0.011375
14593	20100113	AAPL	APPLE INC	204.10001	210.92999	210.64999	22267060	210.67000	210.69000	207.87000	0.014105
14593	20100114	AAPL	APPLE INC	209.02000	210.46001	209.42999	15811930	209.22000	209.39999	210.11000	-0.005792
14593	20100115	AAPL	APPLE INC	205.87000	211.60001	205.92999	21792710	205.91000	205.92999	210.92999	-0.016712
14593	20100119	AAPL	APPLE INC	207.24001	215.19000	215.03999	26597167	215.00999	215.00000	208.33000	0.044238
14593	20100120	AAPL	APPLE INC	209.50000	215.55000	211.72501	22433416	211.69000	211.82001	214.91000	-0.015416
14593	20100121	AAPL	APPLE INC	207.21001	213.31380	208.07201	22339679	207.92999	208.28000	212.08000	-0.017254
14593	20100122	AAPL	APPLE INC	197.16000	207.50000	197.75000	32353278	197.55000	197.80000	206.78000	-0.049608
14593	20100125	AAPL	APPLE INC	200.19000	204.70000	203.07500	39316161	202.86000	203.03000	202.50999	0.026928
14593	20100126	AAPL	APPLE INC	202.58000	213.71001	205.94000	68057437	205.88000	205.89000	205.95000	0.014108
14593	20100127	AAPL	APPLE INC	199.53101	210.58000	207.88400	63634021	207.86000	207.98000	206.85001	0.009440
14593	20100128	AAPL	APPLE INC	198.70000	205.50000	199.28999	43123961	199.28999	199.30000	204.92999	-0.041340
14593	20100129	AAPL	APPLE INC	190.25000	202.20000	192.06300	45971390	191.97000	192.03999	201.08000	-0.036264
14593	20100201	AAPL	APPLE INC	191.30000	196.00000	194.73000	27576409	194.70000	194.71001	192.37000	0.013886
14593	20100202	AAPL	APPLE INC	193.38000	196.32001	195.86000	25627574	195.84000	195.85001	195.91000	0.005803
14593	20100203	AAPL	APPLE INC	194.42000	200.20000	199.23000	22553343	199.22000	199.28000	195.17000	0.017206
14593	20100204	AAPL	APPLE INC	191.57001	198.37000	192.05000	27796720	191.98000	192.00000	196.73000	-0.036039
14593	20100205	AAPL	APPLE INC	190.85001	196.00000	195.46001	31211996	195.28999	195.31000	192.62500	0.017756
14593	20100208	AAPL	APPLE INC	194.00000	197.88000	194.12000	17568306	194.03999	194.05000	195.69000	-0.006856
14593	20100209	AAPL	APPLE INC	194.75000	197.50000	196.19000	23130192	196.14999	196.20000	196.42000	0.010664
14593	20100210	AAPL	APPLE INC	194.25999	196.60001	195.11600	13886651	195.27000	195.28000	195.89000	-0.005474
14593	20100211	AAPL	APPLE INC	194.06000	199.75000	198.67000	20170465	198.69000	198.78000	194.88000	0.018215
14593	20100212	AAPL	APPLE INC	195.50000	201.64000	200.38000	23899479	200.45000	200.46001	198.11000	0.008607
14593	20100216	AAPL	APPLE INC	201.52000	203.69000	203.39999	19861692	203.39999	203.42999	201.94000	0.015071
14593	20100217	AAPL	APPLE INC	200.86000	204.31000	202.55000	15976141	202.46001	202.55000	204.19000	-0.004179
14593	20100218	AAPL	APPLE INC	200.92000	203.89000	202.92799	15451881	203.03000	203.03999	201.63000	0.001866
14593	20100219	AAPL	APPLE INC	201.11000	203.20000	201.67000	15186275	201.67999	201.70000	201.86000	-0.006199
14593	20100222	AAPL	APPLE INC	199.19000	202.50000	200.41600	14292683	200.36000	200.44000	202.34000	-0.006218
14593	20100223	AAPL	APPLE INC	195.71001	201.33000	197.05901	20973110	196.95000	197.03000	200.00000	-0.016750
14593	20100224	AAPL	APPLE INC	197.84000	201.44000	200.65601	16857464	200.55000	200.60001	198.23000	0.018253
14593	20100225	AAPL	APPLE INC	196.89000	202.86000	202.00000	24323109	202.00999	202.03999	197.38000	0.006698
