AIR	0000001750
ADCT.1	0000061478
AAL	0000006201
CECE	0000003197
ASA	0001230869
AVX	0000859163
PNW	0000764622
AAN	0000706688
ABT	0000001800
SERV.1	0000001923
WDDD	0000001961
ACETQ	0000002034
MRCBF
ACMTA	0000002062
ACU	0000002098
BKTI	0000002186
ADX	0000002230
AE	0000002178
AMD	0000002488
ASMIY	0000351483
AIM.1	0000109471
AET	0001122304
AEM	0000002809
APD	0000002969
AIRT	0000353184
EGN1	0000003146
SO1	0000003153
ALAN	0000098618
ALK	0000766421
ATRI	0000701288
ACV.1	0001368457
MATX	0000003453
ALX	0000003499
ACEL.	0000708717
AGMJF
0065A	0001616896
ALCO	0000003545
ATPT	0000745543
Y	0000775368
AYE	0000003673
HON	0000773840
ALY	0000003982
SWKS	0000004127
APNI	0000004164
GYLD
AA.3
3AMBEQ	0000276750
HES	0000004447
LCC	0000701345
AMR1	0000004515
UHAL	0000004457
ABLT	0000004611
BEAM.2	0000789073
ABM	0000771497
PRI	0001475922
VBF	0000005094
2388B	0000004828
ECOL	0001783400
AEP	0000004904
AXP	0000004962
AXP1	0000004969
AFL	0000004977
AM.1	0000005133
AIG	0000005272
HAIPF	0000005337
ALGI	0000008855
HYEM
TEEE.
AMAC	0000700721
ANAT	0000904163
APFC	0000350832
ARL	0001102238
ASEI	0000005768
AMS	0000744825
AMSWA	0000713425
AVD	0000005981
AMN.2	0000790730
AME	0001037868
AMGN	0000318154
AMPLQ	0000731859
AP	0000006176
AXR	0000006207
ADI	0000006281
ALOG	0000006284
ANLY	0000006292
ANEN	0000006314
ANDR	0000006494
ANDE	0000821026
NBR	0001163739
MXLP	0001548592
APA	0000006769
ASOE	0000726435
APAGF	0000311471
APOG	0000006845
AEP1	0000006879
AAPL	0000320193
AMAT	0000006951
EPAC	0000006955
TREC	0000007039
AROBF
AOXY	0000352991
ADM	0000007084
ARDNA	0000225051
PNW1	0000007286
ARCB	0000894405
ETR1	0000007323
ARW	0000007536
ARTW	0000007623
AB.H
ASH	0001674862
ALOT	0000008146
ATRO	0000008063
ACLLF	0001261317
SO7	0001004155
CEVL	0001391594
ATW	0000008411
REX	0000744187
ASAM	0000008497
ADSK	0000769397
ADP	0000008670
AVHI	0000039677
AVY	0000008818
AVT	0000008858
AVP	0000008868
AZZ	0000008947
BTI	0001303523
BRT	0000014846
PRSNQ	0000320174
BMI	0000009092
BKR.1	0000009263
BHI	0000808362
BCPC	0000009326
PTVCB	0000009346
BLL	0000009389
CEG	0001004440
BPOP	0000763901
BOH	0000046195
BTEC.1	0000318378
EMA1.	0000009548
BK	0001390777
BRE	0001011174
BCR	0000009892
B	0000009984
BRN	0000010048
GOLD	0000756894
DFZ	0000749872
ESTE.1
BSET	0000010329
6583B	0001416436
BAX	0000010456
BRCOQ	0000909992
AIT	0000109563
CHSO	0001493893
BDX	0000010795
BELFB	0000729580
4994B	0000880114
VZ	0000732712
BCE	0000718940
BLLI	0000945489
BLC	0000356080
BMS	0000011199
BNHN	0000935226
BRK.B	0001067983
BBY	0000764478
BIO	0000012208
SVNTQ	0000722104
5938B	0000351346
3BTEL	0001300128
SPEX.2	0001584361
NIMU	0000720762
BKH	0001130464
HRB	0000012659
VAL	0000314808
BLT	0001001606
BRRE	0000012779
BOBE	0000033769
BA	0000012927
OMX	0000012978
BOLT.1	0000354655
RHI	0000315213
0141A	0000013239
NST	0001035675
RFP	0001393066
REXMY	0000013522
ENTP	0000013547
BWL.A	0000013573
BRC	0000746598
BAM	0001001085
BRID	0000014177
BGG	0000014195
MSGI	0000014280
BMY	0000014272
CYSTQ	0001144906
TU	0000868675
BP	0000313807
BTY10	0000756620
BNSSA	0000014637
BF.B	0000014693
CAL	0000014707
BC	0000014930
MTRN	0001104657
0015B	0000718916
CXEE	0001518487
BRK3	0000934612
MTZ	0000015615
UIS	0000746838
BUKS	0000015847
CAE	0001173382
RAMP	0000733269
CDI	0000018396
CI	0001739940
CPICQ	0000025354
CSS	0000020629
CNA	0000021175
CSPI	0000356037
CSX	0000277948
CTS	0000026058
6534C	0000320121
CVV	0000766792
CBT	0000016040
CACH	0000350199
CACI	0000016058
CAGAQ	0000016104
CAMP	0000730255
0176A	0001011659
KRED	0001527355
CWT	0001035201
CPB	0000016732
MLFNF	0001202643
CNI	0000016868
NXY	0000016873
CP	0000016875
CDNAF
STZ	0000016918
CAJ	0000016988
CPTP	0000202947
